Cement,Blast Furnace Slag,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate ,Age,Concrete compressive strength,Embodied carbon
332.5,142.5,228,0,932,594,270,40.27,337
332.5,142.5,228,0,932,594,365,41.05,337
198.6,132.4,192,0,978.4,825.5,360,44.3,216
266,114,228,0,932,670,90,47.03,275
380,95,228,0,932,594,365,43.7,378
380,95,228,0,932,594,28,36.45,378
266,114,228,0,932,670,28,45.85,275
198.6,132.4,192,0,978.4,825.5,90,38.07,215
198.6,132.4,192,0,978.4,825.5,28,28.02,215
427.5,47.5,228,0,932,594,270,43.01,420
190,190,228,0,932,670,90,42.33,208
304,76,228,0,932,670,28,47.81,308
139.6,209.4,192,0,1047,806.9,90,39.36,165
342,38,228,0,932,670,365,56.14,342
380,95,228,0,932,594,90,40.56,378
427.5,47.5,228,0,932,594,180,41.84,420
139.6,209.4,192,0,1047,806.9,28,28.24,165
139.6,209.4,192,0,1047,806.9,3,8.06,165
139.6,209.4,192,0,1047,806.9,180,44.21,165
380,95,228,0,932,594,270,41.15,378
342,38,228,0,932,670,180,52.12,342
427.5,47.5,228,0,932,594,28,37.43,420
304,76,228,0,932,670,365,55.26,308
266,114,228,0,932,670,365,52.91,275
198.6,132.4,192,0,978.4,825.5,180,41.72,215
190,190,228,0,932,670,365,53.69,208
237.5,237.5,228,0,932,594,270,38.41,253
237.5,237.5,228,0,932,594,28,30.08,253
332.5,142.5,228,0,932,594,90,37.72,337
237.5,237.5,228,0,932,594,180,36.25,253
342,38,228,0,932,670,90,50.46,342
427.5,47.5,228,0,932,594,365,43.7,420
237.5,237.5,228,0,932,594,365,39,253
427.5,47.5,228,0,932,594,90,41.54,420
427.5,47.5,228,0,932,594,7,35.08,420
380,95,228,0,932,594,180,40.76,378
237.5,237.5,228,0,932,594,7,26.26,253
380,95,228,0,932,594,7,32.82,378
332.5,142.5,228,0,932,594,180,39.78,337
190,190,228,0,932,670,180,46.93,208
237.5,237.5,228,0,932,594,90,33.12,253
304,76,228,0,932,670,90,49.19,308
139.6,209.4,192,0,1047,806.9,7,14.59,165
198.6,132.4,192,0,978.4,825.5,7,14.64,215
198.6,132.4,192,0,978.4,825.5,3,9.13,215
304,76,228,0,932,670,180,50.95,308
332.5,142.5,228,0,932,594,28,33.02,337
304,76,228,0,932,670,270,54.38,308
266,114,228,0,932,670,270,51.73,275
190,190,228,0,932,670,270,50.66,208
266,114,228,0,932,670,180,48.7,275
342,38,228,0,932,670,270,55.06,342
